unique_row,study_ID,long_cite,short_cite,peer_reviewed,coder,expt_num,expt_condition,same_infant,response_mode,exposure_phase,method,dependent_measure,participant_design,native_lang,infant_type,group_name_1,group_name_2,n_1,n_2,mean_age_1,mean_age_2,x_1,x_2,SD_1,SD_2,t,F,r,d,d_var,corr,test_lang,stimuli_link,data_link,age_range_1,age_range_2,n_excluded_1,n_excluded_2,gender_1,gender_2,num_trials,special_cases_measures,x_dif,SD_dif,contrast_sampa,audio_condition,speaker,speech_type,object_stimulus,cue_type,N_AFC,mean_comprehension_vocab,mean_production_vocab,pointing_modality,motive,correlation_type,condition_type,stimulus_naturalness,contrast_pseudoIPA,sampa_comments,counterbalanced,backness,height,nasality,roundness,tenseness,length,F1_1,F2_1,F1_2,F2_2,duration_word_1,duration_word_2,duration_vowel_1,duration_vowel_2,peripherality,Linguistic,words_to_passage,edge_alignment,familiarization_voice,familiarization_register,familiarization_affect,test_voice,test_register,indexical,rule.type,repetitions,types,tokens,expt_condition2,word_round,word_spiky,multiple_age_groups_younger_older,replication,native,label_present,instruction_code,taxonomic_type,tokens_per_trial,word_types_per_cond,publication_type,main_or_baseline_study,Modality,Semantics,TrainingRule,Speech,Nonspeech,CorrectPronunciation,Mispronunciation,is_correct,n_feature,type_feature,mispron_location,scenarios,Hamlin_Lab,stimuli_type,minimal_pairs,cues_present,word_typicality,ME_trial_type,preceding,task_difficulty,median_production_vocab,sentence_structure,agent_argument_type,patient_argument_type,stimuli_modality,stimuli_actor,transitive_event,intransitive_event,presentation_type,character_identification,practice_phase,test_mass_or_distributed,n_train_test_pair,n_test_trial_per_pair,n_repetitions_sentence,n_repetitions_video,learning_domain,live_video,task,rhythm_class,speech_manip,percentV,deltaC,deltaV,VarcoV,nPVI_V,rPVI_C,corr_imputed,dataset,short_name,domain,d_calc,d_var_calc,g_calc,g_var_calc,r_calc,r_var_calc,z_calc,z_var_calc,log_odds_calc,log_odds_var_calc,es_method,mean_age,n,same_infant_calc,all_mod,mean_age_months,year
11,bohn2001,"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.",Bohn & Polka (2001),yes,Sho Tsuji,1,FULL,102,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,German,typical,NA,NA,20,NA,249.444,NA,72.8,50,13.4,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,I-e_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,synthetic,I-e_,not_looked_up,1,0,1,0,0,1,0,345,2088,299,2206,120.7,202.4,62.3,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.557918903,Vowel discrimination (native),inphondb-native,early_language,1.7014925373134326,0.12237692136333257,1.630597014925373,0.11239130451597733,0.6479783460383598,0.005973132823325417,0.7718059401003883,0.058823529411764705,3.0861660824283703,0.40260393389310445,group_means_one,249.44400000000002,20,bohn2001 102,,8.195453705414897,2001
12,bohn2001,"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.",Bohn & Polka (2001),yes,Sho Tsuji,1,FULL,103,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,German,typical,NA,NA,20,NA,249.444,NA,75.2,50,9.6,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,o-U_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,synthetic,o-ʊ_,AEnglish,1,0,0,0,0,1,0,352,682,389,924,237.1,158.9,140.3,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.61,Vowel discrimination (native),inphondb-native,early_language,2.6250000000000004,0.22226562500000008,2.5156250000000004,0.20412936740451398,0.7954317200324987,0.002753175342809163,1.0860494887151397,0.058823529411764705,4.761223331114823,0.7312245969036258,group_means_one,249.44400000000002,20,bohn2001 103,,8.195453705414897,2001
13,bohn2001,"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.",Bohn & Polka (2001),yes,Sho Tsuji,1,FND,104,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,German,typical,NA,NA,10,NA,249.444,NA,55.1,50,8.8,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,e-i_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,synthetic,e-i_,not_looked_up,1,0,1,0,0,0,0,299,2206,255,2279,175.65,175.65,114.65,175.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4136643196,Vowel discrimination (native),inphondb-native,early_language,0.5795454545454547,0.11679364669421488,0.5252130681818183,0.09592134459944797,0.27832308574776954,0.022925011505939497,0.2858634285908197,0.14285714285714285,1.0511791769993766,0.38423569647749956,group_means_one,249.44400000000002,10,bohn2001 104,,8.195453705414897,2001
14,bohn2001,"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.",Bohn & Polka (2001),yes,Sho Tsuji,1,FND,105,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,German,typical,NA,NA,10,NA,249.444,NA,58.1,50,4.8,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,I-e_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural_processed,I-e_,not_looked_up,1,0,1,0,0,1,0,345,2088,299,2206,161.55,161.55,101.65,161.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338,Vowel discrimination (native),inphondb-native,early_language,1.6875000000000004,0.24238281250000007,1.5292968750000004,0.19906635284423835,0.644870939209783,0.012078025740446597,0.7664679643929344,0.14285714285714285,3.0607864271452434,0.7974074909994724,group_means_one,249.44400000000002,10,bohn2001 105,,8.195453705414897,2001
15,bohn2001,"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.",Bohn & Polka (2001),yes,Sho Tsuji,1,FND,106,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,German,typical,NA,NA,10,NA,249.444,NA,57.2,50,6.3,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,o-U_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural_processed,o-ʊ_,AEnglish,1,0,0,0,0,1,0,352,682,389,924,198,198,106.9,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.267,Vowel discrimination (native),inphondb-native,early_language,1.1428571428571432,0.16530612244897963,1.035714285714286,0.1357641103316327,0.49613893835683404,0.017704233045061447,0.544171234365517,0.14285714285714285,2.0729135591248213,0.543835344549822,group_means_one,249.44400000000002,10,bohn2001 106,,8.195453705414897,2001
16,bohn2001,"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.",Bohn & Polka (2001),yes,Sho Tsuji,1,VC,107,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,German,typical,NA,NA,10,NA,249.444,NA,59.5,50,15.6,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,e-i_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural_processed,e-i_,not_looked_up,1,0,1,0,0,0,0,299,2206,255,2279,NA,NA,141,88.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3731563714,Vowel discrimination (native),inphondb-native,early_language,0.608974358974359,0.11854248849441158,0.5518830128205129,0.09735764924199232,0.29128362258106827,0.02271414446399331,0.29996832211546653,0.14285714285714285,1.1045573051426327,0.38998915538684303,group_means_one,249.44400000000002,10,bohn2001 107,,8.195453705414897,2001
17,bohn2001,"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.",Bohn & Polka (2001),yes,Sho Tsuji,1,VC,108,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,German,typical,NA,NA,10,NA,249.444,NA,70.1,50,11.4,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,E-I_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural_processed,ε-I_,AEnglish,1,0,1,0,0,0,0,494,1697,345,2088,NA,NA,68.9,62.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.654,Vowel discrimination (native),inphondb-native,early_language,1.7631578947368416,0.2554362880886426,1.5978618421052626,0.2097870295728012,0.6612951321661117,0.01137698788965745,0.7951118227108201,0.14285714285714285,3.1980146685182254,0.840351704372532,group_means_one,249.44400000000002,10,bohn2001 108,,8.195453705414897,2001
18,bohn2001,"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.",Bohn & Polka (2001),yes,Sho Tsuji,1,VC,109,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,German,typical,NA,NA,10,NA,249.444,NA,76.9,50,19.1,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,I-e_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural_processed,I-e_,not_looked_up,1,0,1,0,0,1,0,345,2088,299,2206,NA,NA,62.3,141,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.303,Vowel discrimination (native),inphondb-native,early_language,1.4083769633507854,0.199176283544859,1.2763416230366493,0.16358130318479142,0.5757584671481975,0.014875998688228177,0.6560945278967276,0.14285714285714285,2.5545132407277733,0.6552637082223208,group_means_one,249.44400000000002,10,bohn2001 109,,8.195453705414897,2001
19,bohn2001,"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.",Bohn & Polka (2001),yes,Sho Tsuji,1,VC,110,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,German,typical,NA,NA,10,NA,249.444,NA,76.4,50,12.6,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,o-U_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural_processed,o-ʊ_,AEnglish,1,0,0,0,0,1,0,352,682,389,924,NA,NA,140.3,73.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.855,Vowel discrimination (native),inphondb-native,early_language,2.095238095238096,0.3195011337868482,1.8988095238095244,0.2624027866354876,0.7233555441435722,0.00865571568120348,0.9146477190864359,0.14285714285714285,3.800341525062172,1.0511165987252389,group_means_one,249.44400000000002,10,bohn2001 110,,8.195453705414897,2001
20,bohn2001,"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.",Bohn & Polka (2001),yes,Sho Tsuji,1,CND,111,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,German,typical,NA,NA,10,NA,249.444,NA,64.8,50,10.7,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,e-i_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,e-i_,not_looked_up,1,0,1,0,0,0,0,299,2206,255,2279,NA,NA,114.65,175.65,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5708368185,Vowel discrimination (native),inphondb-native,early_language,1.3831775700934579,0.19565900952048215,1.2535046728971961,0.16069260449875536,0.568810207097825,0.015141067423810073,0.6457622166163347,0.14285714285714285,2.5088065972585443,0.643692340492045,group_means_one,249.44400000000002,10,bohn2001 111,,8.195453705414897,2001
21,bohn2001,"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.",Bohn & Polka (2001),yes,Sho Tsuji,1,CND,112,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,German,typical,NA,NA,10,NA,249.444,NA,52.3,50,10.7,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,I-e_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,I-e_,not_looked_up,1,0,1,0,0,1,0,345,2088,299,2206,NA,NA,101.65,161.55,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636,Vowel discrimination (native),inphondb-native,early_language,0.21495327102803713,0.10231024543628264,0.19480140186915865,0.08402628555850948,0.1068612185106767,0.024711294204948026,0.1072707892232771,0.14285714285714285,0.3898821063307193,0.3365872162114892,group_means_one,249.44400000000002,10,bohn2001 112,,8.195453705414897,2001
22,bohn2001,"Bohn, O. S., & Polka, L. (2001). Target spectral, dynamic spectral, and duration cues in infant perception of German vowels. The Journal of the Acoustical Society of America, 110(1), 504–515.",Bohn & Polka (2001),yes,Sho Tsuji,1,CND,113,behavior,conditioning,conditioned head-turn,pc_head_turns,within_one,German,typical,NA,NA,10,NA,249.444,NA,58.7,50,13.2,NA,NA,NA,NA,NA,NA,NA,native,NA,NA,182.52,NA,33,NA,NA,NA,NA,NA,NA,NA,o-U_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,o-ʊ_,AEnglish,1,0,0,0,0,1,0,352,682,389,924,NA,NA,106.9,198,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.338,Vowel discrimination (native),inphondb-native,early_language,0.6590909090909094,0.12172004132231408,0.5973011363636367,0.09996733862506459,0.3129881161673213,0.022334551416435533,0.3238546165665357,0.14285714285714285,1.1954586718816442,0.4004428851784965,group_means_one,249.44400000000002,10,bohn2001 113,,8.195453705414897,2001
23,bosch2003,"Bosch, L., & Sebastian-Galles, N. (2003). Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life. Language and Speech 46(2-3), 217-243.",Bosch & Sebastian-Galles (2003),yes,Sho Tsuji,1,NA,75,eye-tracking,familiarization,head-turn preference procedure,looking_time,within_two,Catalan,typical,NA,NA,12,NA,139,NA,NA,NA,5.229,5.416,3.295,NA,NA,NA,NA,0.855,native,NA,NA,25,NA,3,NA,NA,NA,NA,NA,2.746,NA,dEDi -deDi_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,dεði -deði_,AEnglish,1,0,0,0,0,1,0,675,2524,442,2714,761.9,792.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.855,Vowel discrimination (native),inphondb-native,early_language,0.5158433807762952,0.035253933062113246,0.47715512721807307,0.03016414647627065,0.2497483523757881,0.007265009330253441,0.2551444057557272,0.1111111111111111,0.9356363960964738,0.11598079096851417,subj_diff_two,139,12,bosch2003 75,,4.566828887656831,2003
24,bosch2003,"Bosch, L., & Sebastian-Galles, N. (2003). Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life. Language and Speech 46(2-3), 217-243.",Bosch & Sebastian-Galles (2003),yes,Sho Tsuji,1,NA,77,eye-tracking,familiarization,head-turn preference procedure,looking_time,within_two,"Catalan, Peninsular Spanish",bilingual,NA,NA,12,NA,138,NA,NA,NA,5.518,5.135,2.93,NA,NA,NA,NA,0.575,native,NA,NA,23,NA,2,NA,NA,NA,NA,NA,4.163,NA,dEDi -deDi_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,dεði -deði_,AEnglish,1,0,0,0,0,1,0,675,2526,442,2716,761.9,792.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.575,Vowel discrimination (native),inphondb-native,early_language,0.7810592552906558,0.096252231678133085,0.7224798111438566,0.08235581572960263,0.3637734487775997,0.015718564338124005,0.3812280094057648,0.1111111111111111,1.416684780675443,0.31665714979505827,subj_diff_two,138,12,bosch2003 77,,4.533974003572968,2003
25,bosch2003,"Bosch, L., & Sebastian-Galles, N. (2003). Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life. Language and Speech 46(2-3), 217-243.",Bosch & Sebastian-Galles (2003),yes,Sho Tsuji,2,NA,78,eye-tracking,familiarization,head-turn preference procedure,looking_time,within_two,Catalan,typical,NA,NA,12,NA,249,NA,NA,NA,6.584,7.861,2.571,NA,NA,NA,NA,0.555,native,NA,NA,27,NA,1,NA,NA,NA,NA,NA,5.126,NA,dEDi -deDi_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,dεði -deði_,AEnglish,1,0,0,0,0,1,0,675,2524,442,2714,761.9,792.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.555,Vowel discrimination (native),inphondb-native,early_language,0.7069693302567827,0.09499190141348848,0.653946630487524,0.0812774456469161,0.3332757359210552,0.01668112351674536,0.3465087945905931,0.1111111111111111,1.2823005217528431,0.3125108294194708,subj_diff_two,249,12,bosch2003 78,,8.180866136881662,2003
26,bosch2003,"Bosch, L., & Sebastian-Galles, N. (2003). Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life. Language and Speech 46(2-3), 217-243.",Bosch & Sebastian-Galles (2003),yes,Sho Tsuji,2,NA,80,eye-tracking,familiarization,head-turn preference procedure,looking_time,within_two,"Catalan, Peninsular Spanish",bilingual,NA,NA,12,NA,243,NA,NA,NA,5.449,5.927,NA,NA,NA,NA,NA,0.514,native,NA,NA,32,NA,2,NA,NA,NA,NA,NA,-0.01,NA,dEDi -deDi_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,dεði -deði_,AEnglish,1,0,0,0,0,1,0,675,2526,442,2716,761.9,792.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.514,Vowel discrimination (native),inphondb-native,early_language,-0.0017565372698707413,0.08100012855929918,-0.0016247969746304358,0.06930573499855038,-8.782682962067659e-4,0.020249985279958166,-8.78268522025798e-4,0.1111111111111111,-0.0031860061833452595,0.26647974177255435,subj_diff_two,243,12,bosch2003 80,,7.983736832378488,2003
27,bosch2003,"Bosch, L., & Sebastian-Galles, N. (2003). Simultaneous Bilingualism and the Perception of a Language-Specific Vowel Contrast in the First Year of Life. Language and Speech 46(2-3), 217-243.",Bosch & Sebastian-Galles (2003),yes,Sho Tsuji,3,NA,81,eye-tracking,familiarization,head-turn preference procedure,looking_time,within_two,"Catalan, Peninsular Spanish",bilingual,NA,NA,12,NA,371,NA,NA,NA,6.042,5.097,3.116,NA,NA,NA,NA,0.567,native,NA,NA,71,NA,3,NA,NA,NA,NA,NA,4.723,NA,dEDi -deDi_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural,dεði -deði_,AEnglish,1,0,0,0,0,1,0,675,2526,442,2716,761.9,792.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.567,Vowel discrimination (native),inphondb-native,early_language,0.8449761582555173,0.10191602950084389,0.7816029463863535,0.08720190274165955,0.3891798715968852,0.01556675070517529,0.41083315229760387,0.1111111111111111,1.5326172186369291,0.33529029776769387,subj_diff_two,371,12,bosch2003 81,,12.189161995112835,2003
28,cheour1998a,"Cheour, M., Alho, K., Ceponiene, R., Reinikainen, K., Sainio, K., Pohjavuori, M., Aaltonen, O., & Naatanen, R. (1998). Maturation of mismatch negativity in infants. International Journal of Psychophysiology 29, 217-226.",Cheour et al. (1998a),yes,Sho Tsuji,1,NA,171,EEG,test_only,oddball,peak_amplitude,within_one,Finnish,typical,NA,NA,12,NA,3,NA,1.7,0,2.41351342,NA,2.44,NA,NA,NA,NA,NA,native,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,y:-i:_,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,natural_processed,y-i_,not_looked_up,1,0,0,0,1,0,0,200,1700,200,2400,100,100,100,100,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.452,Vowel discrimination (native),inphondb-native,early_language,0.7043673285230789,0.10400555556211412,0.6515397788838481,0.0889897534778339,0.3321846900135805,0.01830876183915529,0.3452819222013156,0.1111111111111111,1.2775810126625151,0.3421645629711951,group_means_one,3,12,cheour1998a 171,,0.09856465225158627,1998
